adm_cd2,indsLclsCd,indsLclsNm,store_count,avg_nearest_subway_dist_m,ratio_subway_zone,avg_parking_capacity_300m,avg_competitor_lcls_300m,avg_competitor_mcls_300m,adm_nm,signgu_cd,signgu_nm,area_km2,pop_total,pop_density,sex_ratio,ratio_2030,ratio_4050,ratio_60plus,total_stores,dong_station_count,dong_daily_ridership,dong_parking_lot_count,dong_total_parking_capacity,store_share_in_dong,store_share_in_city,location_quotient,store_density_km2,stores_per_1000_pop
2711065000,I1,숙박,9,280.6,1.0,1884.6,10.7,10.7,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.0152,0.0078,1.547,22.98,1.22
2711065000,I2,음식,113,289.6,1.0,1978.6,182.3,45.8,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.1906,0.003,0.594,288.56,15.28
2711065000,L1,부동산,35,215.1,1.0,945.8,21.4,21.4,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.059,0.0084,1.677,89.38,4.73
2711065000,M1,과학·기술,195,368.9,1.0,962.9,173.2,66.2,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.3288,0.0192,3.826,497.96,26.37
2711065000,N1,시설관리·임대,26,293.7,1.0,1252.8,18.2,2.6,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.0438,0.006,1.193,66.39,3.52
2711065000,P1,교육,41,235.6,1.0,1437.0,32.0,18.2,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.0691,0.0059,1.169,104.7,5.55
2711065000,Q1,보건의료,25,123.3,1.0,3651.1,59.3,54.6,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.0422,0.0163,3.261,63.84,3.38
2711065000,R1,예술·스포츠,6,251.9,1.0,1331.0,5.5,2.2,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.0101,0.0012,0.235,15.32,0.81
2711065000,S2,수리·개인,51,231.8,1.0,1629.1,74.2,37.1,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.086,0.0031,0.621,130.23,6.9
2711066000,G2,소매,57,242.1,1.0,292.7,54.9,6.4,대구광역시 중구 남산3동,27110,중구,0.4076,5779,14178.1,84.57,0.1909,0.3116,0.3655,313,1,5728.2,10,404,0.1821,0.0019,0.706,139.84,9.86
2711066000,I1,숙박,3,223.1,1.0,233.7,5.7,5.0,대구광역시 중구 남산3동,27110,중구,0.4076,5779,14178.1,84.57,0.1909,0.3116,0.3655,313,1,5728.2,10,404,0.0096,0.0026,0.977,7.36,0.52
2711066000,I2,음식,72,263.0,1.0,327.9,99.3,25.2,대구광역시 중구 남산3동,27110,중구,0.4076,5779,14178.1,84.57,0.1909,0.3116,0.3655,313,1,5728.2,10,404,0.23,0.0019,0.717,176.64,12.46
2711066000,L1,부동산,14,213.5,0.9286,267.2,21.3,21.3,대구광역시 중구 남산3동,27110,중구,0.4076,5779,14178.1,84.57,0.1909,0.3116,0.3655,313,1,5728.2,10,404,0.0447,0.0034,1.271,34.35,2.42
2711066000,M1,과학·기술,70,306.9,1.0,295.9,107.3,40.9,대구광역시 중구 남산3동,27110,중구,0.4076,5779,14178.1,84.57,0.1909,0.3116,0.3655,313,1,5728.2,10,404,0.2236,0.0069,2.602,171.74,12.11
2711066000,N1,시설관리·임대,9,267.2,1.0,289.2,13.0,1.2,대구광역시 중구 남산3동,27110,중구,0.4076,5779,14178.1,84.57,0.1909,0.3116,0.3655,313,1,5728.2,10,404,0.0288,0.0021,0.782,22.08,1.56
2711066000,P1,교육,21,218.1,1.0,302.6,24.7,12.8,대구광역시 중구 남산3동,27110,중구,0.4076,5779,14178.1,84.57,0.1909,0.3116,0.3655,313,1,5728.2,10,404,0.0671,0.003,1.134,51.52,3.63
