년월,정류소명,승차,하차
2016-01-01,농협중앙회건너,16176,5943
2016-01-01,농협중앙회앞,15482,19935
2016-01-01,농협중앙회중동지점건너,1194,33
2016-01-01,농협중앙회중동지점앞,430,138
2016-01-01,농협하나로마트건너,26,386
2016-01-01,능골1,160,894
2016-01-01,능골건너,1866,19
2016-01-01,능성동(종점)1,13,0
2016-01-01,능성동(종점)2,275,3
2016-01-01,능성동입구건너,612,40
2016-01-01,능성동입구앞,7,40
2016-01-01,다리골,14,0
2016-01-01,다사고등학교건너,5500,3896
2016-01-01,다사고등학교앞,299,1161
2016-01-01,다사농협세천지점건너,490,41
2016-01-01,다사농협세천지점앞,395,50
2016-01-01,다사농협주유소건너,84,619
2016-01-01,다사농협주유소앞,6062,294
2016-01-01,다사역(4번출구),8,0
2016-01-01,다사읍사무소건너,5672,315
2016-01-01,다사읍사무소서재출장소건너,627,8
2016-01-01,다사읍사무소서재출장소앞,140,342
2016-01-01,다사읍사무소앞,3,85
2016-01-01,다사주공아파트건너,114,0
2016-01-01,다사주공아파트앞,0,71
2016-01-01,다사체육공원건너,0,1
2016-01-01,다사체육공원앞,34,1
2016-01-01,다사초등학교건너,35,0
2016-01-01,다사초등학교앞,0,73
2016-01-01,단산리(종점),319,0
2016-01-01,단산리입구,52,2
2016-01-01,달구벌종합복지관건너,731,279
2016-01-01,달구벌종합복지관앞,382,103
2016-01-01,달서공고건너,119,93
2016-01-01,달서공고앞,7,32
2016-01-01,달서교회건너,17745,4029
2016-01-01,달서교회앞,15726,7617
2016-01-01,달서구새마을회건너,2910,53
2016-01-01,달서구새마을회앞,36,138
2016-01-01,달서구청건너,11885,2162
2016-01-01,달서구청앞,4770,1875
2016-01-01,달서자동차검사소건너,1,73
2016-01-01,달서자동차검사소앞,90,1
2016-01-01,달서종합시장건너,1321,214
2016-01-01,달서종합시장앞,632,161
2016-01-01,달서중고등학교,15,11
2016-01-01,달서중고등학교건너,130,0
2016-01-01,달서천하수종말처리장건너,47,2
2016-01-01,달서초교,1686,163
2016-01-01,달성2차공단관리청사1,830,279
2016-01-01,달성2차공단관리청사2,803,34
2016-01-01,달성2차공단관리청사3,11,11
2016-01-01,달성2차산업단지출장소건너,10,0
2016-01-01,달성2차산업단지출장소앞,0,1
2016-01-01,달성경찰서,1739,455
2016-01-01,달성경찰서건너,2265,178
2016-01-01,달성공원건너,9859,1850
2016-01-01,달성공원앞,6635,8083
2016-01-01,달성군민운동장건너,977,86
2016-01-01,달성군민운동장앞,951,160
2016-01-01,달성군선거관리위원회건너,99,85
2016-01-01,달성군선거관리위원회앞,31,940
2016-01-01,달성군청건너,416,72
2016-01-01,달성군청앞,1291,75
2016-01-01,달성기와건너,140,130
2016-01-01,달성기와앞,526,16
2016-01-01,달성문화원건너,2,0
2016-01-01,달성산업단지건너,156,63
2016-01-01,달성산업단지관리공단1,3,2
2016-01-01,달성산업단지관리공단2,9,2
2016-01-01,달성소방서건너,143,117
2016-01-01,달성소방서앞,170,144
2016-01-01,달성스포츠파크건너,0,15
2016-01-01,달성스포츠파크앞,13,0
2016-01-01,달성예비군훈련장건너,234,62
2016-01-01,달성예비군훈련장앞,1889,205
2016-01-01,달성우체국건너,300,226
2016-01-01,달성우체국앞,3149,94
2016-01-01,달성중학교건너,4343,521
2016-01-01,달성중학교앞,13235,3559
2016-01-01,달성초등학교건너,650,129
2016-01-01,달성초등학교앞,452,83
2016-01-01,달성취수장건너,11,110
2016-01-01,달성취수장앞,4484,134
2016-01-01,달창저수지,193,0
2016-01-01,달천리(시내방향),161,3
2016-01-01,달천리(시외방향),81,1
2016-01-01,담안마을1,8,13
2016-01-01,담안마을2,309,3
2016-01-01,담티고개1,307,413
2016-01-01,담티고개2,1017,827
2016-01-01,당동마을건너,163,1
2016-01-01,당동마을앞,0,15
2016-01-01,당정마을입구,20,3
2016-01-01,당정마을입구건너,90,1
2016-01-01,대1리용흥지건너,196,2
2016-01-01,대1리용흥지앞,9,12
2016-01-01,대곡강산타운,21332,739
2016-01-01,대곡강산타운건너,3428,724
2016-01-01,대곡사계절타운건너,13912,348
2016-01-01,대곡사계절타운앞,4006,1161
2016-01-01,대곡역(1번출구),45874,2298
2016-01-01,대곡역(2번출구),26087,39983
2016-01-01,대곡역(한라하우젠트건너),25941,3081
2016-01-01,대곡역(한라하우젠트앞),5636,11066
2016-01-01,대곡역그린빌,5988,8141
2016-01-01,대곡주공1단지앞,3844,1203
2016-01-01,대곡주공2단지앞,14409,504
2016-01-01,대곡주공5단지건너,1462,415
2016-01-01,대곡주공5단지앞,131,5
2016-01-01,대곡주공6단지앞,3026,393
2016-01-01,대곡주공7단지앞,13633,854
2016-01-01,대곡주공8단지건너,3442,570
